Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company
529013,Men 35-44,Product Launch,15 Days,Instagram,0.15,$500.00 ,5.79,Las Vegas,Spanish,500,3000,7,Health,2/25/2022,Aura Align
275352,Women 45-60,Market Expansion,15 Days,Facebook,0.01,$500.00 ,7.21,Los Angeles,French,500,3000,5,Home,5/12/2022,Hearth Harmony
692322,Men 45-60,Product Launch,15 Days,Instagram,0.08,$500.00 ,0.43,Austin,Spanish,500,3000,9,Technology,6/19/2022,Cyber Circuit
675757,Men 25-34,Increase Sales,15 Days,Pinterest,0.03,$500.00 ,0.909823572,Miami,Spanish,293,1937,1,Health,9/8/2022,Well Wish
535900,Men 45-60,Market Expansion,15 Days,Pinterest,0.13,$500.00 ,1.422828219,Austin,French,293,1937,1,Home,8/24/2022,Hearth Harmony
323031,Women 35-44,Product Launch,15 Days,Facebook,0.02,$500.00 ,6.9,Austin,Spanish,500,3001,10,Technology,1/15/2022,Cyber Circuit
727501,All Ages,Increase Sales,15 Days,Pinterest,0.1,$500.00 ,0.679239602,Los Angeles,French,293,1938,1,Home,10/30/2022,Space Spruce
289553,Men 25-34,Product Launch,15 Days,Pinterest,0.1,$500.00 ,1.00992204,Miami,English,293,1938,1,Food,7/23/2022,Feast Flavors
942511,Men 35-44,Market Expansion,15 Days,Twitter,0.14,$500.00 ,1.19,Los Angeles,French,501,3003,8,Food,8/14/2022,Culinary Quest
255854,Women 45-60,Increase Sales,15 Days,Facebook,0.04,$500.00 ,1.65,Miami,English,501,3003,9,Food,3/23/2022,Gourmet Grove
204863,Men 45-60,Market Expansion,15 Days,Instagram,0.08,$500.00 ,2.81,Las Vegas,English,501,3003,8,Technology,8/24/2022,Silicon Saga
147351,Women 25-34,Increase Sales,15 Days,Twitter,0.05,$500.00 ,5.02,Austin,Spanish,501,3004,8,Fashion,9/25/2022,Mode Maven
320183,All Ages,Product Launch,15 Days,Pinterest,0.04,$500.00 ,0.12869803,Miami,Spanish,294,1939,1,Home,3/5/2022,Homely Haven
998847,Men 18-24,Increase Sales,15 Days,Instagram,0.09,$500.00 ,0.94,Las Vegas,Spanish,501,3005,8,Technology,6/11/2022,Cyber Circuit
174406,Women 25-34,Product Launch,15 Days,Facebook,0.13,$500.00 ,0.89,Austin,English,501,3005,6,Health,12/26/2022,Aura Align
